Lipid,.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif,p.signif
Total CL,norm_val,0.28 OsM,1.02 OsM,3,3,-1.03995799805019,2.0457226433149467,0.405,0.405,ns,ns
Total CL,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,-4.1945050890454905,2.8571301882916265,0.027,0.027,ns,*
Total CL,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,0.5487721819522263,2.0102954808381726,0.638,0.638,ns,ns
Total DG,norm_val,0.28 OsM,1.02 OsM,3,3,-3.131249650361244,3.6220637889025658,0.04,0.04,ns,*
Total DG,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,2.762321855136426,2.1699009105930664,0.1,0.1,ns,ns
Total DG,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,8.959839012199978,2.330354466749558,0.007,0.007,*,**
Total FFA,norm_val,0.28 OsM,1.02 OsM,3,3,-7.10150599534043,3.814594583003388,0.002,0.002,**,**
Total FFA,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.7989863238314211,3.8195913718928227,0.471,0.471,ns,ns
Total FFA,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,7.1254021443238145,3.999956675420917,0.002,0.002,**,**
Total HBMP,norm_val,0.28 OsM,1.02 OsM,3,3,8.144517943988776,2.0190829895111113,0.014,0.014,*,*
Total HBMP,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.18808253697882266,2.327103974028521,0.866,0.866,ns,ns
Total HBMP,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,-26.999210729781154,2.2310152968465924,7.49e-4,7.49e-4,**,***
Total LPC,norm_val,0.28 OsM,1.02 OsM,3,3,-6.490200007644534,3.452231593331532,0.005,0.005,**,**
Total LPC,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.18615856870931,2.8655915476777225,0.325,0.325,ns,ns
Total LPC,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,7.949287222967948,3.653307614342925,0.002,0.002,**,**
Total LPE,norm_val,0.28 OsM,1.02 OsM,3,3,1.7643163911281192,2.3682258542371604,0.2,0.2,ns,ns
Total LPE,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.3153331764332997,2.421968468922195,0.778,0.778,ns,ns
Total LPE,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,-4.871555804389733,3.9808418077417795,0.008,0.008,*,**
Total PA,norm_val,0.28 OsM,1.02 OsM,3,3,-0.3596883966643248,3.0576670279109495,0.742,0.742,ns,ns
Total PA,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,1.0789323184130608,3.490541462754421,0.349,0.349,ns,ns
Total PA,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,1.0377142833307929,2.5033841955121914,0.389,0.389,ns,ns
Total PC,norm_val,0.28 OsM,1.02 OsM,3,3,-2.5319868941893158,3.65415138025394,0.07,0.07,ns,ns
Total PC,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,-2.5735934023275613,2.251936781366387,0.11,0.11,ns,ns
Total PC,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,0.6204034249873239,2.471014817377595,0.587,0.587,ns,ns
Total PE,norm_val,0.28 OsM,1.02 OsM,3,3,2.1934961701371183,2.9742414721147243,0.117,0.117,ns,ns
Total PE,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.6038749673370637,2.525523308223182,0.596,0.596,ns,ns
Total PE,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,-2.8991684090085954,3.626865818621617,0.05,0.05,ns,*
Total PEtOH,norm_val,0.28 OsM,1.02 OsM,3,3,0.4490773406425702,3.675634667382062,0.679,0.679,ns,ns
Total PEtOH,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.22302072100412787,3.1138013722424795,0.837,0.837,ns,ns
Total PEtOH,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,-0.13053534367865188,3.7073844458360212,0.903,0.903,ns,ns
Total PG,norm_val,0.28 OsM,1.02 OsM,3,3,0.006594487123823324,2.8844548186098558,0.995,0.995,ns,ns
Total PG,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.2405769371373174,2.3017294783883804,0.83,0.83,ns,ns
Total PG,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,-0.4620797859899889,3.177046237602322,0.674,0.674,ns,ns
Total PMeOH,norm_val,0.28 OsM,1.02 OsM,3,3,-1.9664676238926995,2.2508726899963523,0.174,0.174,ns,ns
Total PMeOH,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.027371106831447,2.2714819091041125,0.401,0.401,ns,ns
Total PMeOH,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,0.7261299784477008,3.9936755385001566,0.508,0.508,ns,ns
Total TG,norm_val,0.28 OsM,1.02 OsM,3,3,-4.3573008441043335,2.879283532609747,0.024,0.024,ns,*
Total TG,norm_val,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.11736434878633813,3.6520020906382284,0.913,0.913,ns,ns
Total TG,norm_val,1.02 OsM,1.02 OsM + 1mM GB,3,3,4.630384636842332,2.4821765963791242,0.028,0.028,ns,*
