Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
CL 14:0_16:0_18:0_18:1,-2.2304249636002833,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,1.858990857897734,2.0012173933750796,0.204,0.6903698325741012,p>0.051,NA
CL 16:0_18:0_18:1_18:2,0.7362391329529621,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,-1.9127939737192408,2.0594293513981876,0.192,0.7166987712964504,p>0.051,NA
CL 64:1,-2.6315832850883614,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,1.2837233118292337,2.000948636891863,0.328,0.4841261562883209,p>0.051,NA
CL 64:2,-1.0124413815920528,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,0.8456986310442848,2.011506053131261,0.486,0.3133637307377066,p>0.051,NA
CL 66:2,-0.3313779496580967,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,0.3902916644122328,2.0233184909246624,0.734,0.13430394008392949,p>0.051,NA
CL 66:3,0.32358101623643926,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,-0.4181603458359297,2.0493210894370835,0.716,0.14508697769214446,p>0.051,NA
CL 66:5,-0.9874693258168117,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,1.2556186572684842,2.0019575248716652,0.336,0.4736607226101559,p>0.051,NA
CL 68:2,-0.17525333509812172,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,0.30188738580609364,2.102179449970828,0.79,0.10237290870955855,p>0.051,NA
CL 68:3,0.5214395923831218,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,-0.7359467875920909,2.006956966763408,0.538,0.2692177243336108,p>0.051,NA
CL 68:4,1.4225036554524386,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,-12.016967685795313,3.3041588178502717,7.7e-4,3.113509274827518,Increased,CL
CL 72:4,2.4585801054654914,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,-231.42857299478385,3.437523003712507,2.49e-8,7.603800652904264,Increased,CL
DG 16:0_16:1,-0.5040744068230332,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,3.983403466765208,2.9974211560669843,0.0284,1.5466816599529623,Decreased,DG
DG 18:1_18:1,-3.71572138857014,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,6.907292760289826,2.021914044962266,0.0197,1.705533773838407,Decreased,DG
FA 16:0,-0.9069338112995251,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,6.946360485846566,3.4557470468818887,0.00381,2.4190750243243806,Decreased,FA
FA 16:1,0.736547446610924,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,-2.3012967497850196,2.256095405368167,0.134,0.8728952016351923,p>0.051,NA
FA 17:1,-0.8533872757629533,signal,1.02 OsM,1.02 OsM + 1mM GB,3,3,6.325689243620491,3.3668855815609673,0.00561,2.2510371387438384,Decreased,FA
