Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
CL 14:0_16:0_18:0_18:1,-0.09404402887058982,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.9991119025183002,2.9183876492858336,0.393,0.4056074496245733,p>0.051,NA
CL 16:0_18:0_18:1_18:2,0.15095429979111005,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-1.0529973723418904,2.274837402046294,0.391,0.40782324260413316,p>0.051,NA
CL 64:1,0.3000106129252969,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-1.3787761621929358,2.9506698983130053,0.263,0.5800442515102421,p>0.051,NA
CL 64:2,1.1514399274850604,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-6.3199975871964105,3.9798796940317867,0.00326,2.486782399932061,Increased,CL
CL 66:2,0.5867432416108971,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-3.0195843846849355,2.912402250381628,0.059,1.2291479883578558,p>0.051,NA
CL 66:3,1.3106972130013883,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-7.414205390437709,3.93454488297525,0.00188,2.72584215073632,Increased,CL
CL 66:5,0.630133504659275,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-7.325678635337911,2.3190722959212366,0.0119,1.9244530386074692,Increased,CL
CL 68:2,0.00985773205351541,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.06924373744378953,3.935873146608689,0.948,0.023191662661933767,p>0.051,NA
CL 68:3,0.6551439542339941,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-3.338229751808241,2.0623167899930057,0.076,1.1191864077192086,p>0.051,NA
CL 68:4,-0.03844119472432495,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.5298368368278769,3.2608299440774906,0.63,0.2006594505464183,p>0.051,NA
CL 72:4,-0.32462374462347465,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,8.69361328880422,2.06148063313726,0.0118,1.9281179926938745,Decreased,CL
