Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
CL 14:0_16:0_18:0_18:1,2.1932035192993453,signal,0.28 OsM,1.02 OsM,3,3,-1.8433278158257682,2.0121032452351426,0.206,0.6861327796308466,p>0.051,NA
CL 16:0_18:0_18:1_18:2,-0.5214265445823835,signal,0.28 OsM,1.02 OsM,3,3,1.1235762738104416,2.9662436059312145,0.344,0.46344155742846993,p>0.051,NA
CL 64:1,2.989176389431559,signal,0.28 OsM,1.02 OsM,3,3,-1.3372962464281624,2.0048640195501335,0.313,0.5044556624535516,p>0.051,NA
CL 64:2,2.226142522151628,signal,0.28 OsM,1.02 OsM,3,3,-1.3184150210139098,2.012472212154614,0.317,0.4989407377822485,p>0.051,NA
CL 66:2,0.9779382160101132,signal,0.28 OsM,1.02 OsM,3,3,-0.9254839665379058,2.1173121508340813,0.448,0.348721986001856,p>0.051,NA
CL 66:3,1.0515424369699857,signal,0.28 OsM,1.02 OsM,3,3,-0.8580133294513005,2.0750647309463792,0.478,0.3205721033878811,p>0.051,NA
CL 66:5,1.6824004686881886,signal,0.28 OsM,1.02 OsM,3,3,-1.739892789102166,2.021060996740438,0.223,0.6516951369518393,p>0.051,NA
CL 68:2,0.23722976926465403,signal,0.28 OsM,1.02 OsM,3,3,-0.3890446176248042,2.3377223710214867,0.73,0.1366771398795441,p>0.051,NA
CL 68:3,0.19519747771837215,signal,0.28 OsM,1.02 OsM,3,3,-0.2056528960173423,2.3326629201781413,0.854,0.06854212931099495,p>0.051,NA
CL 68:4,-1.4005223531062172,signal,0.28 OsM,1.02 OsM,3,3,7.507247864918131,2.491149856877545,0.00903,2.0443122496864943,Decreased,CL
CL 72:4,-2.72312670294139,signal,0.28 OsM,1.02 OsM,3,3,10.86290727820821,2.00399024227919,0.00831,2.080398976215889,Decreased,CL
DG 16:0_16:1,-0.37816415832263317,signal,0.28 OsM,1.02 OsM,3,3,1.6921151881046044,2.623767489655872,0.202,0.6946486305533762,p>0.051,NA
DG 18:1_18:1,3.1479778153626694,signal,0.28 OsM,1.02 OsM,3,3,-6.256861657737542,2.511239024164578,0.0137,1.8632794328435933,Increased,DG
