102_low,1mM_low,both
CL 68:4,PA 17:0_19:1,PE 15:0_16:0
CL 72:4,PE 12:0_17:1,PE 15:0_16:0_2
FA 16:1,PE 14:0_15:0,PE 15:0_16:1
HBMP 46:2,PE 14:0_16:0,PE 16:0_17:0
HBMP 48:2,PE 16:0_16:0,PE 17:0_18:1
HBMP 48:3,PE 16:0_17:0_2,PE 17:0_18:1_2
HBMP 50:3,PE 16:0_19:1,PE 35:1
HBMP 52:3,PE 17:0_19:1,PG 16:1_17:1_2
PE 12:0_16:1,PE 19:1_19:1,PG 17:0_18:1
PE 14:0_16:1,PE 33:0,NA
PE 14:1_16:1,PE 34:1,NA
PE 16:0_16:1,PG 15:0_16:0,NA
PE 16:0_18:1,PG 16:0_17:0,NA
PE 16:1_16:1,PG 16:0_19:1,NA
PE 16:1_17:1,PG 17:0_19:1,NA
PE 16:1_17:1_2,PG 18:1_19:1,NA
PE 16:1_18:1,PG 31:0,NA
PE 18:0_18:1,PG 37:2,NA
PE 18:1_18:1,TG 18:1_18:1_18:2,NA
PE 30:2,NA,NA
PG 15:0_16:1,NA,NA
PG 16:0_18:0,NA,NA
PG 16:1_16:1,NA,NA
PG 31:1,NA,NA
PMeOH 16:1_18:1,NA,NA
