Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
CL 14:0_16:0_18:0_18:1,-0.037221444300938274,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.2280318487720423,2.3983029200319335,0.838,0.07675598136972352,p>0.051,NA
CL 16:0_18:0_18:1_18:2,0.21481258837057865,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.277763108935961,2.229999332784464,0.318,0.4975728800155673,p>0.051,NA
CL 64:1,0.3575931043431974,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.4226905967011807,2.7515383866748917,0.258,0.5883802940367698,p>0.051,NA
CL 64:2,1.213701140559575,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-6.1163085338485645,3.993516153364936,0.00364,2.438898616350944,Increased,CL
CL 66:2,0.6465602663520166,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-2.919103313668676,2.764287013662468,0.068,1.1674910872937636,p>0.051,NA
CL 66:3,1.3751234532064252,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-7.295968879958716,3.835552123623944,0.0022,2.657577319177794,Increased,CL
CL 66:5,0.6949311428713769,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-6.440020601214015,2.3685877763603234,0.015,1.8239087409443189,Increased,CL
CL 68:2,0.061976434166532396,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.2992698234744171,3.1026888313100587,0.784,0.10568393731556154,p>0.051,NA
CL 68:3,0.7166370701014939,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-3.251472394076449,2.0830336459688827,0.0786,1.1045774539605921,p>0.051,NA
CL 68:4,0.021981302346221386,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.17022198276658435,3.2082615595991997,0.875,0.057991946977686754,p>0.051,NA
CL 72:4,-0.26454659747589876,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,2.14540287124836,2.0016917997401187,0.165,0.7825160557860937,p>0.051,NA
DG 16:0_16:1,-0.8822385651456663,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,3.5407821111534257,2.170591488009282,0.0632,1.1992829217176149,p>0.051,NA
DG 18:1_18:1,-0.56774357320747,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.7476128175596013,2.168316144228372,0.527,0.27818938478745336,p>0.051,NA
FA 16:0,0.1922869858345114,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.8379284802974621,3.9999992538519304,0.449,0.3477536589966768,p>0.051,NA
FA 16:1,0.06496430118932756,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.25202113139250804,2.30316825912535,0.822,0.08512818245994963,p>0.051,NA
FA 17:1,0.21519959977797315,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.9743913726549686,3.908602600506464,0.386,0.41341269532824504,p>0.051,NA
FA 18:0,0.14792432734751534,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.5613958093797129,3.873526902637274,0.605,0.2182446253475311,p>0.051,NA
FAHFA 16:0_18:2,0.21051136774006618,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.5936216015408244,3.781942461089581,0.586,0.23210238398190938,p>0.051,NA
HBMP 46:2,-0.020994688827064636,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.14782623255872265,3.35557760889713,0.891,0.0501222959631252,p>0.051,NA
HBMP 48:2,-0.006557047113838884,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.05775059898367608,2.0328541954906925,0.959,0.018181392829336417,p>0.051,NA
HBMP 48:3,0.07467307223544181,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.6719842928659221,2.3134023383025157,0.562,0.2502636844309389,p>0.051,NA
HBMP 50:3,-0.09174167742819092,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.4892358080868492,2.926795065715047,0.659,0.18111458540599013,p>0.051,NA
HBMP 52:3,-0.1777119449703409,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,1.5692549242850513,2.0981735964506902,0.251,0.6003262785189618,p>0.051,NA
LPC 15:0/0:0,0.26518859541677575,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.1861585687093104,2.865591547677722,0.325,0.4881166390211256,p>0.051,NA
LPE 16:1,0.17112361677004478,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.3153331764332996,2.421968468922196,0.778,0.10902040301031106,p>0.051,NA
PA 17:0_17:1,-0.24485025022972615,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.6668706799431462,3.105310481261781,0.551,0.2588484011482149,p>0.051,NA
PA 17:0_19:1,-1.071394323057762,signal,0.28 OsM,1.02 OsM + 1mM GB,3,2,8.75083579516322,2.231291623908369,0.00905,2.0433514207947967,Decreased,PA
PA 18:1_19:1,-0.3131931621407048,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,1.1753441446138997,3.5721515206100687,0.312,0.5058454059815573,p>0.051,NA
PC 34:5,0.22684360512737486,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-2.573593402327557,2.2519367813663878,0.11,0.958607314841775,p>0.051,NA
PE 12:0_14:0,0.008290114374242848,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.05370086545609961,2.172037667040443,0.962,0.016824927962187056,p>0.051,NA
PE 12:0_16:1,-0.37443336503931407,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,3.171776586776643,2.2524349413624525,0.0742,1.1295960947209729,p>0.051,NA
PE 12:0_17:1,-0.46493510588074943,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,3.537301403789593,3.400316849667403,0.0314,1.5030703519267852,Decreased,PE
PE 14:0_14:0,-0.08320335731473845,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.8395767788064588,2.8902111444967664,0.465,0.33254704711004607,p>0.051,NA
PE 14:0_15:0,-1.1223525539486696,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,6.773828185741143,2.229754223733522,0.0158,1.8013429130455774,Decreased,PE
PE 14:0_16:0,-0.6624133416152213,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,6.479216743435945,3.0395222953550993,0.00717,2.1444808443322,Decreased,PE
PE 14:0_16:1,0.4178681729074128,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-8.030748168581031,3.6397355918361685,0.00192,2.7166987712964503,Increased,PE
PE 14:0_17:1,0.32253890561125986,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-4.301445213571863,3.165363490658374,0.0207,1.6840296545430822,Increased,PE
PE 14:1_16:1,-0.056602251420623646,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.6811512796924749,2.0667709038414555,0.564,0.24872089601665776,p>0.051,NA
PE 15:0_16:0,-1.3470849994495067,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,10.35702150299204,2.280493380437075,0.00578,2.238072161579471,Decreased,PE
PE 15:0_16:0_2,-1.2709885491021526,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,15.183450209598336,2.2240855658711074,0.00273,2.563837352959244,Decreased,PE
PE 15:0_16:1,-0.6857868795126714,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,16.15690958805113,3.2071869384471374,3.51e-4,3.4546928835341757,Decreased,PE
PE 16:0_16:0,-0.26353017438060905,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,3.4735627037026933,3.1842423313418307,0.0367,1.4353339357479107,Decreased,PE
